EXPERIMENT_NUMBER,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY
0,mnist,500,badnet,0,0.5,"(8, 8)",0.9768,0.990909090909091
0,mnist,500,badnet,0,0.5,"(2, 2)",0.976,0.9818181818181818
0,mnist,500,badnet,0,0.5,"(4, 4)",0.9768,0.9937915742793791
0,mnist,500,badnet,0,1.0,"(2, 2)",0.9755,0.9881374722838138
0,mnist,500,badnet,0,1.0,"(4, 4)",0.9752,0.9968957871396896
0,mnist,1000,badnet,0,0.5,"(8, 8)",0.9796,0.98980044345898
0,mnist,1000,badnet,0,0.5,"(2, 2)",0.9787,0.976940133037694
0,mnist,1000,badnet,0,0.5,"(4, 4)",0.9782,0.9899113082039911
0,mnist,1000,badnet,0,1.0,"(2, 2)",0.9777,0.9862527716186252
0,mnist,500,badnet,0,1.0,"(8, 8)",0.9761,0.9954545454545455
0,mnist,500,badnet,0,2.0,"(2, 2)",0.9765,0.9956762749445677
0,mnist,1000,badnet,0,1.0,"(4, 4)",0.9782,0.991130820399113
0,mnist,500,badnet,0,2.0,"(4, 4)",0.9754,0.9983370288248337
0,mnist,1000,badnet,0,1.0,"(8, 8)",0.9784,0.9971175166297117
0,mnist,500,badnet,0,2.0,"(8, 8)",0.9751,0.9965631929046563
0,mnist,2000,badnet,0,0.5,"(2, 2)",0.981,0.9426829268292682
0,mnist,2000,badnet,0,0.5,"(4, 4)",0.982,0.9854767184035477
0,mnist,2000,badnet,0,0.5,"(8, 8)",0.982,0.9812638580931264
0,mnist,500,badnet,0,5.0,"(2, 2)",0.9758,0.9988913525498891
0,mnist,1000,badnet,0,2.0,"(2, 2)",0.9786,0.991130820399113
0,mnist,1000,badnet,0,2.0,"(4, 4)",0.9777,0.996119733924612
0,mnist,500,badnet,0,5.0,"(4, 4)",0.9768,0.9992239467849224
0,mnist,1000,badnet,0,2.0,"(8, 8)",0.9786,0.9997782705099778
0,mnist,2000,badnet,0,1.0,"(2, 2)",0.9809,0.9575388026607539
0,mnist,500,badnet,0,5.0,"(8, 8)",0.9762,0.998669623059867
0,mnist,1000,badnet,0,5.0,"(2, 2)",0.9783,0.9920177383592018
0,mnist,2000,badnet,0,1.0,"(4, 4)",0.9814,0.9937915742793791
0,mnist,2000,badnet,0,1.0,"(8, 8)",0.9827,0.9931263858093127
0,mnist,1000,badnet,0,5.0,"(8, 8)",0.9771,0.9982261640798226
0,mnist,1000,badnet,0,5.0,"(4, 4)",0.9785,0.9851441241685144
0,mnist,2000,badnet,0,2.0,"(4, 4)",0.9811,0.9930155210643016
0,mnist,2000,badnet,0,2.0,"(8, 8)",0.9815,0.9889135254988913
0,mnist,2000,badnet,0,2.0,"(2, 2)",0.9816,0.9701773835920178
0,mnist,2000,badnet,0,5.0,"(2, 2)",0.9821,0.9884700665188471
0,mnist,2000,badnet,0,5.0,"(8, 8)",0.9817,0.9993348115299335
0,mnist,2000,badnet,0,5.0,"(4, 4)",0.981,0.9992239467849224
0,mnist,5000,badnet,0,0.5,"(2, 2)",0.9842,0.6566518847006652
0,mnist,5000,badnet,0,0.5,"(8, 8)",0.9839,0.6515521064301553
0,mnist,5000,badnet,0,0.5,"(4, 4)",0.9842,0.44390243902439025
0,mnist,5000,badnet,0,1.0,"(2, 2)",0.9835,0.5541019955654102
0,mnist,5000,badnet,0,1.0,"(4, 4)",0.9838,0.20288248337028825
0,mnist,5000,badnet,0,5.0,"(2, 2)",0.9844,0.2967849223946785
0,mnist,5000,badnet,0,2.0,"(8, 8)",0.9844,0.9644124168514412
0,mnist,5000,badnet,0,2.0,"(4, 4)",0.9843,0.6529933481152993
0,mnist,5000,badnet,0,1.0,"(8, 8)",0.9827,0.2302660753880266
0,mnist,5000,badnet,0,2.0,"(2, 2)",0.9839,0.7079822616407982
0,mnist,5000,badnet,0,5.0,"(8, 8)",0.984,0.8
0,mnist,5000,badnet,0,5.0,"(4, 4)",0.9831,0.15022172949002216
0,mnist,8000,badnet,0,0.5,"(2, 2)",0.9837,0.17971175166297118
0,mnist,8000,badnet,0,0.5,"(8, 8)",0.9838,0.46252771618625277
0,mnist,8000,badnet,0,5.0,"(2, 2)",0.9835,0.2868070953436807
0,mnist,8000,badnet,0,0.5,"(4, 4)",0.9845,0.29889135254988913
0,mnist,8000,badnet,0,2.0,"(8, 8)",0.9842,0.016186252771618625
0,mnist,8000,badnet,0,1.0,"(4, 4)",0.984,0.4635254988913525
0,mnist,8000,badnet,0,2.0,"(4, 4)",0.9836,0.38647450110864745
0,mnist,8000,badnet,0,1.0,"(2, 2)",0.9845,0.188470066518847
0,mnist,8000,badnet,0,5.0,"(8, 8)",0.9841,0.4583148558758315
0,mnist,8000,badnet,0,1.0,"(8, 8)",0.9835,0.42106430155210645
0,mnist,8000,badnet,0,2.0,"(2, 2)",0.9844,0.40210643015521064
0,mnist,8000,badnet,0,5.0,"(4, 4)",0.985,0.4522172949002217
0,mnist,500,badnet,0,75.0,"(2, 2)",0.9538,0.4039911308203991
0,mnist,500,badnet,0,50.0,"(8, 8)",0.9718,0.9975609756097561
0,mnist,500,badnet,0,100.0,"(8, 8)",0.882,0.0004434589800443459
0,mnist,500,badnet,0,100.0,"(2, 2)",0.875,0.004545454545454545
0,mnist,500,badnet,0,50.0,"(2, 2)",0.9704,0.7888026607538803
0,mnist,500,badnet,0,75.0,"(8, 8)",0.9464,0.9995565410199556
0,mnist,500,badnet,0,75.0,"(4, 4)",0.9396,0.9912416851441241
0,mnist,500,badnet,0,100.0,"(4, 4)",0.8772,0.0015521064301552106
0,mnist,500,badnet,0,50.0,"(4, 4)",0.971,0.9998891352549889
0,mnist,1000,badnet,0,75.0,"(2, 2)",0.9583,0.3464523281596452
0,mnist,1000,badnet,0,50.0,"(8, 8)",0.9732,0.9997782705099778
0,mnist,1000,badnet,0,100.0,"(8, 8)",0.896,0.00011086474501108647
0,mnist,1000,badnet,0,50.0,"(2, 2)",0.9735,0.9373614190687362
0,mnist,1000,badnet,0,100.0,"(2, 2)",0.8965,0.0066518847006651885
0,mnist,1000,badnet,0,75.0,"(8, 8)",0.9644,0.996119733924612
0,mnist,1000,badnet,0,75.0,"(4, 4)",0.9677,0.9698447893569845
0,mnist,1000,badnet,0,100.0,"(4, 4)",0.8971,0.0007760532150776053
0,mnist,1000,badnet,0,50.0,"(4, 4)",0.9733,0.9860310421286032
0,mnist,2000,badnet,0,50.0,"(8, 8)",0.9769,0.9913525498891352
0,mnist,2000,badnet,0,100.0,"(8, 8)",0.9076,0.003436807095343681
0,mnist,2000,badnet,0,75.0,"(2, 2)",0.9221,0.0008869179600886918
0,mnist,2000,badnet,0,75.0,"(8, 8)",0.9737,0.8330376940133037
0,mnist,2000,badnet,0,50.0,"(2, 2)",0.9777,0.9471175166297118
0,mnist,2000,badnet,0,100.0,"(2, 2)",0.9099,0.005764966740576497
0,mnist,2000,badnet,0,75.0,"(4, 4)",0.93,0.2501108647450111
0,mnist,2000,badnet,0,100.0,"(4, 4)",0.9092,0.0005543237250554324
0,mnist,2000,badnet,0,50.0,"(4, 4)",0.9786,0.9956762749445677
0,mnist,5000,badnet,0,50.0,"(8, 8)",0.9759,0.2328159645232816
0,mnist,5000,badnet,0,100.0,"(8, 8)",0.9228,0.0
0,mnist,5000,badnet,0,75.0,"(2, 2)",0.9246,0.0014412416851441242
