EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,PRUNE_RATE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,embeded_elm,mnist,500,0.1,badnet,0,50.0,"(2, 2)",0.8592,1.0,4.437263250350952
0,embeded_elm,mnist,1000,0.1,badnet,0,50.0,"(2, 2)",0.9497,1.0,9.741997003555298
0,embeded_elm,mnist,2000,0.1,badnet,0,50.0,"(2, 2)",0.9619,1.0,23.29082226753235
0,embeded_elm,mnist,500,0.3,badnet,0,50.0,"(2, 2)",0.755,0.9982261640798226,5.65831446647644
0,embeded_elm,mnist,1000,0.3,badnet,0,50.0,"(2, 2)",0.8811,1.0,8.74221682548523
0,embeded_elm,mnist,5000,0.1,badnet,0,50.0,"(2, 2)",0.975,1.0,106.87825608253479
0,embeded_elm,mnist,2000,0.3,badnet,0,50.0,"(2, 2)",0.92,1.0,21.11275839805603
0,embeded_elm,mnist,500,0.5,badnet,0,50.0,"(2, 2)",0.5085,0.0,4.721666097640991
0,embeded_elm,mnist,1000,0.5,badnet,0,50.0,"(2, 2)",0.8258,0.9998891352549889,11.149004936218262
0,embeded_elm,mnist,2000,0.5,badnet,0,50.0,"(2, 2)",0.5045,0.0,26.860984802246094
0,embeded_elm,mnist,5000,0.3,badnet,0,50.0,"(2, 2)",0.9674,1.0,137.06424045562744
0,embeded_elm,mnist,5000,0.5,badnet,0,50.0,"(2, 2)",0.8455,0.9942350332594235,121.66541361808777
0,embeded_elm,mnist,8000,0.1,badnet,0,50.0,"(2, 2)",0.9723,1.0,362.1517686843872
0,embeded_elm,mnist,500,0.1,badnet,0,50.0,"(4, 4)",0.8843,1.0,5.048663854598999
0,embeded_elm,mnist,500,0.3,badnet,0,50.0,"(4, 4)",0.792,0.9998891352549889,6.436450004577637
0,embeded_elm,mnist,1000,0.1,badnet,0,50.0,"(4, 4)",0.9517,1.0,13.733425378799438
0,embeded_elm,mnist,1000,0.3,badnet,0,50.0,"(4, 4)",0.9044,1.0,9.692776679992676
0,embeded_elm,mnist,2000,0.1,badnet,0,50.0,"(4, 4)",0.9629,1.0,33.38328695297241
0,embeded_elm,mnist,2000,0.3,badnet,0,50.0,"(4, 4)",0.8676,1.0,29.930889129638672
0,embeded_elm,mnist,8000,0.3,badnet,0,50.0,"(2, 2)",0.9484,1.0,309.1684567928314
0,embeded_elm,mnist,500,0.5,badnet,0,50.0,"(4, 4)",0.5834,0.0,6.987832069396973
0,embeded_elm,mnist,500,0.1,badnet,0,50.0,"(8, 8)",0.8751,1.0,6.415212154388428
0,embeded_elm,mnist,1000,0.5,badnet,0,50.0,"(4, 4)",0.8177,0.9996674057649667,17.938592672348022
0,embeded_elm,mnist,1000,0.1,badnet,0,50.0,"(8, 8)",0.9499,1.0,9.957675695419312
0,embeded_elm,mnist,8000,0.5,badnet,0,50.0,"(2, 2)",0.5774,0.9970066518847006,323.1452114582062
0,embeded_elm,mnist,5000,0.1,badnet,0,50.0,"(4, 4)",0.9732,1.0,119.61969304084778
0,embeded_elm,mnist,2000,0.5,badnet,0,50.0,"(4, 4)",0.6474,0.0042128603104212865,25.023996114730835
0,embeded_elm,mnist,5000,0.3,badnet,0,50.0,"(4, 4)",0.9565,1.0,140.26420259475708
0,embeded_elm,mnist,2000,0.1,badnet,0,50.0,"(8, 8)",0.9615,1.0,24.331706285476685
0,embeded_elm,mnist,500,0.3,badnet,0,50.0,"(8, 8)",0.7843,0.9997782705099778,6.069801568984985
0,embeded_elm,mnist,1000,0.3,badnet,0,50.0,"(8, 8)",0.9032,1.0,12.726280450820923
0,embeded_elm,mnist,2000,0.3,badnet,0,50.0,"(8, 8)",0.8618,1.0,29.84692406654358
0,embeded_elm,mnist,5000,0.1,badnet,0,50.0,"(8, 8)",0.9741,1.0,123.80622816085815
0,embeded_elm,mnist,5000,0.5,badnet,0,50.0,"(4, 4)",0.8794,1.0,176.98617386817932
0,embeded_elm,mnist,5000,0.3,badnet,0,50.0,"(8, 8)",0.9498,1.0,145.48456692695618
0,embeded_elm,mnist,8000,0.1,badnet,0,50.0,"(4, 4)",0.9689,1.0,370.4585039615631
0,embeded_elm,mnist,500,0.5,badnet,0,50.0,"(8, 8)",0.6035,0.0,6.929573059082031
0,embeded_elm,mnist,8000,0.3,badnet,0,50.0,"(4, 4)",0.9239,1.0,462.28894090652466
0,embeded_elm,mnist,1000,0.5,badnet,0,50.0,"(8, 8)",0.8074,1.0,14.583301544189453
0,embeded_elm,mnist,8000,0.1,badnet,0,50.0,"(8, 8)",0.9736,1.0,361.134738445282
0,embeded_elm,mnist,2000,0.5,badnet,0,50.0,"(8, 8)",0.653,0.0,27.834983587265015
0,embeded_elm,mnist,8000,0.5,badnet,0,50.0,"(4, 4)",0.6647,1.0,385.2371120452881
0,embeded_elm,mnist,8000,0.3,badnet,0,50.0,"(8, 8)",0.94,1.0,324.7681541442871
0,embeded_elm,mnist,5000,0.5,badnet,0,50.0,"(8, 8)",0.8573,1.0,114.03827905654907
0,embeded_elm,mnist,8000,0.5,badnet,0,50.0,"(8, 8)",0.6747,1.0,449.08424282073975
0,embeded_elm,fmnist,500,0.1,badnet,0,50.0,"(2, 2)",0.8514,1.0,5.391788721084595
0,embeded_elm,fmnist,1000,0.1,badnet,0,50.0,"(2, 2)",0.8663,1.0,10.263003587722778
0,embeded_elm,fmnist,500,0.3,badnet,0,50.0,"(2, 2)",0.811,0.9997777777777778,4.072202920913696
0,embeded_elm,fmnist,500,0.5,badnet,0,50.0,"(2, 2)",0.7458,0.9985555555555555,4.64142918586731
0,embeded_elm,fmnist,1000,0.3,badnet,0,50.0,"(2, 2)",0.5644,0.9996666666666667,10.94842791557312
