EXPERIMENT_NUMBER,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY
0,brats,500,badnet,0,5.0,"(2, 2)",0.7741116751269036,1.0
0,brats,1000,badnet,0,5.0,"(2, 2)",0.8045685279187818,0.9342560553633218
0,brats,2000,badnet,0,5.0,"(2, 2)",0.8071065989847716,0.7647058823529411
0,brats,500,badnet,0,5.0,"(4, 4)",0.7893401015228426,1.0
0,brats,500,badnet,0,50.0,"(2, 2)",0.7258883248730964,0.9930795847750865
0,brats,500,badnet,0,5.0,"(8, 8)",0.766497461928934,0.9965397923875432
0,brats,1000,badnet,0,50.0,"(2, 2)",0.7944162436548223,0.916955017301038
0,brats,1000,badnet,0,5.0,"(8, 8)",0.7741116751269036,1.0
0,brats,500,badnet,0,50.0,"(4, 4)",0.7639593908629442,0.15570934256055363
0,brats,1000,badnet,0,5.0,"(4, 4)",0.8147208121827412,1.0
0,brats,1000,badnet,0,50.0,"(4, 4)",0.7893401015228426,1.0
0,brats,500,badnet,0,50.0,"(8, 8)",0.766497461928934,0.03806228373702422
0,brats,500,badnet,0,100.0,"(2, 2)",0.7309644670050761,0.0034602076124567475
0,brats,2000,badnet,0,5.0,"(8, 8)",0.7639593908629442,0.9965397923875432
0,brats,2000,badnet,0,50.0,"(2, 2)",0.7588832487309645,0.7750865051903114
0,brats,2000,badnet,0,5.0,"(4, 4)",0.7893401015228426,0.9930795847750865
0,brats,500,badnet,0,100.0,"(4, 4)",0.7284263959390863,0.0034602076124567475
0,brats,500,badnet,0,100.0,"(8, 8)",0.7030456852791879,0.01730103806228374
0,brats,1000,badnet,0,50.0,"(8, 8)",0.7868020304568528,1.0
0,brats,1000,badnet,0,100.0,"(2, 2)",0.7258883248730964,0.01730103806228374
0,brats,2000,badnet,0,50.0,"(4, 4)",0.8096446700507615,1.0
0,brats,1000,badnet,0,100.0,"(4, 4)",0.7233502538071066,0.04152249134948097
0,brats,1000,badnet,0,100.0,"(8, 8)",0.6700507614213198,0.031141868512110725
0,brats,5000,badnet,0,5.0,"(2, 2)",0.766497461928934,0.698961937716263
0,brats,2000,badnet,0,50.0,"(8, 8)",0.8020304568527918,0.1384083044982699
0,brats,2000,badnet,0,100.0,"(2, 2)",0.7233502538071066,0.010380622837370242
0,brats,2000,badnet,0,100.0,"(4, 4)",0.7233502538071066,0.01730103806228374
0,brats,2000,badnet,0,100.0,"(8, 8)",0.682741116751269,0.006920415224913495
0,brats,5000,badnet,0,5.0,"(4, 4)",0.7385786802030457,0.8408304498269896
0,brats,5000,badnet,0,5.0,"(8, 8)",0.7614213197969543,0.36678200692041524
0,brats,5000,badnet,0,50.0,"(2, 2)",0.7690355329949239,0.9584775086505191
0,brats,5000,badnet,0,50.0,"(4, 4)",0.7461928934010152,0.9826989619377162
0,brats,5000,badnet,0,50.0,"(8, 8)",0.8299492385786802,0.49480968858131485
0,brats,5000,badnet,0,100.0,"(2, 2)",0.7309644670050761,0.02422145328719723
0,brats,5000,badnet,0,100.0,"(4, 4)",0.7360406091370558,0.02768166089965398
0,brats,5000,badnet,0,100.0,"(8, 8)",0.6928934010152284,0.0034602076124567475
0,brats,8000,badnet,0,5.0,"(2, 2)",0.6649746192893401,0.328719723183391
0,brats,8000,badnet,0,5.0,"(4, 4)",0.7081218274111675,0.2837370242214533
0,brats,8000,badnet,0,5.0,"(8, 8)",0.8121827411167513,0.7993079584775087
0,brats,8000,badnet,0,50.0,"(2, 2)",0.6294416243654822,0.25259515570934254
0,brats,8000,badnet,0,50.0,"(8, 8)",0.7868020304568528,0.7958477508650519
0,brats,8000,badnet,0,50.0,"(4, 4)",0.7030456852791879,0.5190311418685121
0,brats,8000,badnet,0,100.0,"(4, 4)",0.7157360406091371,0.01384083044982699
0,brats,8000,badnet,0,100.0,"(2, 2)",0.7182741116751269,0.020761245674740483
0,brats,8000,badnet,0,100.0,"(8, 8)",0.682741116751269,0.0034602076124567475
